date,traffic,case_hk
2023/1/8,26642,0
2023/1/9,16921,0
2023/1/10,17956,0
2023/1/11,17686,0
2023/1/12,21217,0
2023/1/13,24687,0
2023/1/14,26682,0
2023/1/15,23550,0
2023/1/16,26179,0
2023/1/17,31013,0
2023/1/18,47582,0
2023/1/19,55157,0
2023/1/20,62174,0
2023/1/21,51388,0
2023/1/22,35059,0
2023/1/23,34607,0
2023/1/24,27861,0
2023/1/25,23566,0
2023/1/26,25167,0
2023/1/27,27827,0
2023/1/28,23327,0
2023/1/29,18057,0
2023/1/30,21081,0
2023/1/31,20453,0
2023/2/1,21861,0
2023/2/2,22177,0
2023/2/3,30244,0
2023/2/4,26555,1
2023/2/5,13722,0
2023/2/6,85829,0
2023/2/7,80954,0
2023/2/8,86202,0
2023/2/9,91751,0
2023/2/10,127578,0
2023/2/11,161068,0
2023/2/12,118999,0
2023/2/13,108934,0
2023/2/14,106865,0
2023/2/15,108474,0
2023/2/16,114841,0
2023/2/17,149051,0
2023/2/18,190933,0
2023/2/19,142747,0
2023/2/20,118076,0
2023/2/21,118119,0
2023/2/22,121380,0
2023/2/23,125011,0
2023/2/24,163174,0
2023/2/25,209754,0
2023/2/26,154688,0
2023/2/27,127080,0
2023/2/28,127993,0
2023/3/1,131284,0
2023/3/2,137479,0
2023/3/3,175478,0
2023/3/4,225250,0
2023/3/5,165985,0
2023/3/6,131094,0
2023/3/7,131904,0
2023/3/8,133764,0
2023/3/9,137811,0
2023/3/10,175817,0
2023/3/11,230115,0
2023/3/12,170648,0
2023/3/13,132668,0
2023/3/14,133821,0
2023/3/15,132484,0
2023/3/16,144546,0
2023/3/17,178822,0
2023/3/18,234301,0
2023/3/19,178799,0
2023/3/20,137510,0
2023/3/21,137664,0
2023/3/22,133802,0
2023/3/23,140830,0
2023/3/24,179532,0
2023/3/25,224181,0
2023/3/26,157094,0
2023/3/27,131677,0
2023/3/28,135807,0
2023/3/29,140291,0
2023/3/30,146325,0
2023/3/31,199012,0
2023/4/1,260850,0
2023/4/2,187809,0
2023/4/3,166221,0
2023/4/4,247049,0
2023/4/5,212517,0
2023/4/6,186849,0
2023/4/7,274002,0
2023/4/8,203085,0
2023/4/9,170344,0
2023/4/10,118655,0
2023/4/11,126024,0
2023/4/12,134623,0
2023/4/13,139911,0
2023/4/14,168295,0
2023/4/15,229867,0
2023/4/16,183049,0
2023/4/17,145771,0
